,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_bed,price_per_sqft_ann,price_per_sqft_per_bed_ann
315,https://www.realtor.com/rentals/details/6614-Fullerton-Ave-6616-2_Cleveland_OH_44105_M98326-08702,9832608702,2973554090,REDI,-O5KHHtD2ptx_4xK8Jq0$6616-2nd,FOR_RENT,"Renovated 2nd Floor unit. Nicely laid out with 2 bedrms accompanied with 1.5 baths. New flooring throughout and fully updated bathrooms. Glass door entrance as you come up the stairs into your foyer and walk into your open kitchen and living area. Great entertaining space. This home does not allow smoking and no pets. Close to shopping, restaurants, expressway. This is just not an apartment...make it your new home. Available soon. To prequalify or apply, download the RentRedi app from Google Play or the App Store. You can also visit tenant.rentredi.com/getStarted/apply/ICT724 to apply, or go to tenant.rentredi.com/getStarted/prequalify/ICT724 to prequalify. For applying through the RentRedi mobile app, please follow these steps: Step 1. Tap the Apply button. Step 2. Click the + icon. Step 3. Select whether you're prequalifying or applying. Step 4. Enter in your unit code: ICT-724. Step 5. Click Enter Information and answer the questions. Step 6. Click Send to submit to the landlord. This property is using RentRedi for rent payments. With RentRedi, you can easily submit rent payments, boost your credit by reporting rent payments, sign up for affordable renters insurance, and more from the app!",APARTMENT,6614 Fullerton Ave Unit 6616-2,6614 Fullerton Ave,Unit 6616-2,Cleveland,OH,44105,2,1,1,900,,50,1200,2024-10-11,,,,False,,1,41.455048,-81.643501,"Broadway Slavic Village, South Broadway",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Regent High School School District, Constellation Schools:eastside",3.8563466761761225,600.0,16.0,8.0
320,https://www.realtor.com/rentals/details/4780-Burleigh-Rd_Cleveland_OH_44125_M37813-23718,3781323718,2973462214,NEOH,5076650,FOR_RENT,"4780 Burleigh Rd | UP, Garfield Hts- Spacious 2 bed 1 bath multi-family home! // $ 950 rent / $ 950 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: N/A // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // No washer/dryer hookups/no on-site laundry for the UP unit // Serious inquiries only.",MULTI_FAMILY,4780 Burleigh /Up Rd Unit 2,4780 Burleigh /Up Rd,Unit 2,Garfield Heights,OH,44125,2,1,,929,1924,52,950,2024-10-09,16500,26250,124000,False,,1,41.429976,-81.630726,,Cuyahoga,39035,2,0,1,"Harvard Avenue Community School, Constellation Schools:eastside, Regent High School School District, Hope Academy Northcoast, Washington Park Community, Garfield Heights City Schools",5.258490644446895,475.0,12.271259418729818,6.135629709364909
321,https://www.realtor.com/rentals/details/11203-Ashbury-Ave_Cleveland_OH_44106_M43351-55635,4335155635,2973503310,NEOH,5076940,FOR_RENT,"11203 Ashbury Ave, Cleveland- Spacious 3 bed 2.5 bath single family home! // SPECIAL PROMO: $750 move in credit! // $ 1975 rent / $ 1975 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $169 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 3 // BATHROOMS: 2.5 // APPLIANCES PROVIDED: Fridge, stove, and dishwasher // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,11203 Ashbury Ave,11203 Ashbury Ave,,Cleveland,OH,44106,3,2,1,1538,1991,51,1975,2024-10-10,67800,63360,189000,False,4182,1,41.517252,-81.607198,Glenville,Cuyahoga,39035,2,0,2,"Cleveland Metropolitan School District, Citizens Leadership Academy",0.8960134874480818,658.3333333333334,15.40962288686606,5.136540962288686
328,https://www.realtor.com/rentals/details/3778-W-39th-St_Cleveland_OH_44109_M39538-35989,3953835989,2973455748,NEOH,5076613,FOR_RENT,"LEFT side unit available with 2 bedrooms and 1 bathroom. Tenant pays electrical and gas. Tenant pays $1200 a month. First months rent, last months rent and security deposit for move in costs. Applications will be received via Rent Spree.",MULTI_FAMILY,3778 W 39th St,3778 W 39th St,,Cleveland,OH,44109,2,1,,1000,1885,52,1200,2024-10-09,125000,29750,127428,False,3920,1,41.452191,-81.711227,Brooklyn - Centre,Cuyahoga,39035,,0,,"Cleveland Metropolitan School District, Horizon Science Academy-Denison Middle School",6.43522087687922,600.0,14.4,7.2
333,https://www.realtor.com/rentals/details/4512-Oak-Park-Ave_Cleveland_OH_44109_M33287-48441,3328748441,2973399975,NEOH,5076192,FOR_RENT,"4512 Oak Park Ave | UP, Cleveland - Spacious 1 bed 1 bath multi-family home! // $ 850 rent / $ 850 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 1 // BATHROOMS: 1 // APPLIANCES PROVIDED: Fridge, stove, and microwave // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,4512 Oak Park /Up Ave Unit 2,4512 Oak Park /Up Ave,Unit 2,Cleveland,OH,44109,1,1,,504,1920,53,850,2024-10-08,120000,26150,129289,False,,2,41.426767,-81.71644,Old Brooklyn,Cuyahoga,39035,2,0,,"Cleveland Metropolitan School District, Nexus Academy of Cleveland",7.751300427653004,850.0,20.238095238095237,20.238095238095237
336,https://www.realtor.com/rentals/details/4429-E-154th-St_Cleveland_OH_44128_M31125-60486,3112560486,2973374739,TRBO,1564122,FOR_RENT,"Looking for a comfortable, modern home in a quiet and safe neighborhood? This 3-bedroom, 2-bath, 1, 296 sq. ft. single-family home at 4429 E 154th St, Cleveland is just what you need! Rent: $1, 500/monthSection 8 Vouchers WelcomeTenant is responsible for all utilities (electric, gas, and water) Key Features: Location: Quiet and safe neighborhood, grocery stores, shops, public transportation, and recreation Bedrooms/Bathrooms: 3 spacious bedrooms and 2 updated bathrooms Modern Design: Open plan layout with fresh paint, new lighting, and updated fixtures Gourmet Kitchen: Updated with stainless steel appliances (refrigerator, stove, microwave) Flooring: Refinished hardwood and luxury vinyl plank flooring throughout Comfort: Air conditioning unit and heating for year-round comfort Natural Light: Plenty of natural lighting throughout the home Energy-Efficient Windows: Helps reduce utility cost Outdoor Space: Nice-sized backyard, perfect for outdoor activities To apply, visit TurboTenant and search for Property ID 1564122",SINGLE_FAMILY,4429 E 154th St,4429 E 154th St,,Cleveland,OH,44128,3,1,1,1296,1961,54,1500,2024-10-07,82000,10750,86300,False,,1,41.43911,-81.572558,Lee - Miles,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Citizens Academy Southeast School District",4.868329328390026,500.0,13.88888888888889,4.62962962962963
338,https://www.realtor.com/rentals/details/14294-Cedar-Rd-Down_Cleveland_OH_44121_M98824-33190,9882433190,2973374364,AVAL,61202197,FOR_RENT,"Spacious Duplex 3-Bedroom, 1.5 Bath per unit with Wood Floors and Modern Updates Discover your new home in this beautifully updated 3-bedroom, 1.5 bath residence, where classic style meets modern convenience. This inviting home features stunning wood floors throughout, creating a warm and welcoming atmosphere in every room. The updated kitchen is both stylish and functional, equipped with modern appliances, sleek countertops, and plenty of cabinet spaceperfect for cooking and entertaining. The bathrooms have been tastefully upgraded with contemporary fixtures and finishes, providing a fresh and clean look. Each of the three bedrooms is generously sized, offering ample closet space and natural light. The half bath adds convenience for the master suite, while the full bath is an oasis of relaxation after a long day. Located in a sought-after Cedar/Green neighborhood, this home is close to local amenities, including shops, dining, parks, and public transportation, making it an ideal choice for those seeking both comfort and convenience. Both units available. This won't last long. Must have a credit score of 700 or better. 2 dogs under 40 lbs are allowed. $300 one time fee for each at move in.",APARTMENT,14294 Cedar Rd Unit Down,14294 Cedar Rd,Unit Down,Cleveland,OH,44121,3,1,1,1500,,54,1800,2024-10-07,,,,False,,1,41.501122,-81.525284,,Cuyahoga,39035,,,,Cleveland Heights-University Heights City,4.317627665007199,600.0,14.4,4.8
339,https://www.realtor.com/rentals/details/10123-Greenview-Ave_Cleveland_OH_44125_M39527-09788,3952709788,2973351282,NEOH,5075823,FOR_RENT,"10123 Greenview Ave | UP, Garfield Heights- Spacious 2 bed 1 bath multi-family home! // $ 995 rent / $ 995 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // CMHA OK - 2 bdrm voucher; must be prepared with reservation fee to hold the property and moving packet. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: N/A // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,10123 Greenview /Up Ave Unit 2,10123 Greenview /Up Ave,Unit 2,Garfield Heights,OH,44125,2,1,,1036,1925,54,995,2024-10-07,13500,21740,130000,False,,1,41.431609,-81.613783,,Cuyahoga,39035,2,0,1,"SMART Academy, George V. Voinovich Reclamation Academy, Harvard Avenue Community School, Hope Academy Northcoast, Garfield Heights City Schools",5.024278100952043,497.5,11.525096525096526,5.762548262548263
341,https://www.realtor.com/rentals/details/16704-Glenpark-Ave_Cleveland_OH_44128_M40788-35406,4078835406,2973365102,NEOH,5075907,FOR_RENT,"16704 Glenpark Ave, Cleveland - Spacious 2 bed 1 bath single family home! // $995 rent / $995 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $149 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: N/A // UTILITIES / RESIDENT RESPONSIBILITY: Residents are responsible for all utilities including: water/sewer/trash, gas & electric and are responsible to maintain lawn care, maintenance & snow removal. // Serious inquiries only.",SINGLE_FAMILY,16704 Glenpark Ave,16704 Glenpark Ave,,Cleveland,OH,44128,2,1,,1496,1948,54,995,2024-10-07,50000,12110,91500,False,4792,1,41.432831,-81.563317,Lee - Miles,Cuyahoga,39035,1,0,,"Cleveland Metropolitan School District, T2 Honors Academy",5.4591690058090885,497.5,7.981283422459893,3.9906417112299466
344,https://www.realtor.com/rentals/details/9408-Mount-Auburn-Ave-11_Cleveland_OH_44104_M34485-68993,3448568993,2973322085,NEOH,5075659,FOR_RENT,"9408 Mt. Auburn Avenue Welcomes You! This Newly Renovated 4 Bedroom, 1 Full/1 Half Bathroom Property is Ready for Occupancy. Convenient Accessibility to Public Transportation, Schools, Parks, Shopping & the Opportunity Corridor For Easy Travel Throughout the City & Easy Access to Highways. Property is Less Than 3 Miles From Cleveland Clinic Main Campus. First Level Offers New Wood-Style Flooring Throughout, Kitchen Including Refrigerator & Range, 1/2 Bath and Large Windows In Living & Dining Areas Filtering In an Array of Natural Sunlight. The Second Level Offers New Carpet Throughout All 4 Bedrooms, Ample Closet Space & 1 Full Bath. Right Outside Rear Entry You'll Find An Outdoor Built In Shed For Storage. Parking In Rear Lot or Front of Property on Street.Security system (SimpliSafe). Tenant can sign up for monitoring if they desire.Rental requirements:Credit score of 600+. 500 - 600 is considered conditional.Less than 3 items in collections, excluding student loan and medical. Monthly income of 2.5 times the amount of the monthly rent.Thorough Eviction Check. $50 Non Refundable App Fee for all Adults who will be occupying the property.Applications can only be completed online.Typical Security Deposit equivalent to one months rent, pending results of background checks.Tenants must have the electric and gas transferred into their name and obtain renters insurance prior to receiving keys to the property.",CONDOS,9408 Mount Auburn Ave Unit 11,9408 Mount Auburn Ave,Unit 11,Cleveland,OH,44104,4,1,1,2112,1970,56,1750,2024-10-05,79900,7770,81000,False,181240,1,41.475868,-81.619616,Woodland Hills,Cuyahoga,39035,,,,"Randall Park High School, Cleveland Arts And Social Sciences Academy, Wings Academy 1, Wings Academy 2, Cleveland Metropolitan School District",2.0466329053513443,437.5,9.943181818181818,2.4857954545454546
346,https://www.realtor.com/rentals/details/3818-John-Ave_Cleveland_OH_44113_M97844-16758,9784416758,2973279857,NEOH,5075465,FOR_RENT,"Available December in the HEART of Ohio City! Located at the corner of John and Woodbine, youll find easy access to all the restaurants, bars, and markets the area has to offer. This spacious two bedroom unit has been completely updated from top to bottom. Both bedrooms have new lighted ceiling fans, fresh carpet, and ample closet space. The full bathroom is newly tiled and features a fresh vanity and sink. Living area features high ceilings, recessed lighting, room to relax, and a conveniently located half bath. Kitchen is complete with a full set of stainless steel appliances, new butcher block countertops, and plenty of cabinets. Washer/dryer in private basement and access to partially fenced in yard! Pet friendly with some restrictions. Ample street parking! Contact agent with further questions!",MULTI_FAMILY,3818 John Ave,3818 John Ave,,Cleveland,OH,44113,2,1,1,938,1900,57,1525,2024-10-04,,,,False,,2,41.484055,-81.714165,Ohio City,Cuyahoga,39035,,0,,"Cleveland Metropolitan School District, Near West Intergenerational School",5.662859849002053,762.5,19.50959488272921,9.754797441364605
349,https://www.realtor.com/rentals/details/2227-Althen-Ave_Cleveland_OH_44109_M44155-33900,4415533900,2973292955,NEOH,5075547,FOR_RENT,"Prepare to fall in love with this 2-bedroom rental! this unit boasts clean, spacious rooms adorned with freshly painted walls in neutral tones. The living room seamlessly flows into a large eat-in kitchen, creating an inviting space for both relaxation and culinary delights. Step into the backyard oasis with garage space for one car, and enjoy the landscaped front yard on a quiet one-way street. Inside, appreciate the convenience of laundry in unit and the added comfort of AC Fair housing accommodations and modifications for persons with disabilities will be considered on a case by case basis in accordance with the fair housing laws.",MULTI_FAMILY,2227 Althen Ave,2227 Althen Ave,,Cleveland,OH,44109,3,1,,1000,,56,1150,2024-10-05,210000,63780,217547,False,3219,1,41.46745,-81.698714,Clark - Fulton,Cuyahoga,39035,2,0,2,Cleveland Metropolitan School District,5.332201912342915,383.3333333333333,13.8,4.6
352,https://www.realtor.com/rentals/details/14216-Ashwood-Rd_Cleveland_OH_44120_M37441-95467,3744195467,2973234363,NEOH,5075224,FOR_RENT,"Take a look at this newly updated colonial home in the heart of Shaker Heights! This property features 3 beds and 1 1/2 baths! Both bedrooms are located on the second floor of this home. There is an additional bonus room on the first floor that could be used as a 3rd bedroom or back patio room! Updates to this property include new flooring, new interior paint, updated main bathroom and much more! Schedule your showing!",SINGLE_FAMILY,14216 Ashwood Rd,14216 Ashwood Rd,,Cleveland,OH,44120,3,1,1,1459,1929,57,1700,2024-10-04,140000,55800,190200,False,6987,1,41.471949,-81.582492,"Buckeye - Shaker, Ludlow",Cuyahoga,39035,2,0,2,"Shaker Heights City School District, Wings Academy 2, George V. Voinovich Reclamation Academy",2.6061280879340107,566.6666666666666,13.982179575051404,4.660726525017135
353,https://www.realtor.com/rentals/details/2413-Tate-Ave_Cleveland_OH_44109_M30533-90392,3053390392,2973255283,NEOH,5075254,FOR_RENT,"JUST ABOUT FINISHED! Come take a look at this spacious 3 bedroom 1 bath home waiting for you today! Whether you are looking to buy or rent, this property is for you! This home is 85% complete being renovated from head to toe. Renovations will be done in under two weeks. Features of this property include new windows, 2 spacious bedrooms on the first floor, tons of natural lighting throughout the entire house and a massive 3rd floor bedroom! The basement is partially finished with a mini bar area in it. This property also highlights a 2 car detached garage, driveway and street parking. Located within close proximity to restaurants, shopping centers, and minutes away from downtown Cleveland! Don't miss this opportunity today! Schedule your showing!",SINGLE_FAMILY,2413 Tate Ave,2413 Tate Ave,,Cleveland,OH,44109,3,1,,1158,1923,57,1600,2024-10-04,61500,24540,177202,False,4482,1,41.434607,-81.699844,Old Brooklyn,Cuyahoga,39035,,0,2,Cleveland Metropolitan School District,6.757360782769328,533.3333333333334,16.580310880829014,5.526770293609672
358,https://www.realtor.com/rentals/details/3368-W-105th-St_Cleveland_OH_44111_M36581-93894,3658193894,2973226476,TRBO,1618178,FOR_RENT,"Two bedroom townhome style duplex. Completely remodeled throughout. Kitchen, new flooring's, updated bathroom, private basement and walk up attic. All brand new all appliances including washer and dryer, new windows. Huge shared yard. Off street parking, one side of garage included. To apply, visit TurboTenant and search for Property ID 1618178",TOWNHOMES,3368 W 105th St,3368 W 105th St,,Cleveland,OH,44111,2,1,1,1175,,58,1190,2024-10-03,93000,31330,150616,False,,1,41.460826,-81.759247,West Boulevard,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Constellation Schools: Outreach Academy For Students With Di",8.38358119820807,595.0,12.153191489361703,6.076595744680851
359,https://www.realtor.com/rentals/details/10809-Nelson-Ave_Cleveland_OH_44105_M91154-09583,9115409583,2973225962,NEOH,5075194,FOR_RENT,Newly renovated three bedroom apartment. Beautiful kitchen and bath!!!,APARTMENT,10809 Nelson Ave,10809 Nelson Ave,,Cleveland,OH,44105,3,1,,960,1920,58,950,2024-10-03,,,65000,False,5602,1,41.453377,-81.60923,Union - Miles Park,Cuyahoga,39035,2,,,Cleveland Metropolitan School District,3.5145344299841255,316.6666666666667,11.875,3.9583333333333335
360,https://www.realtor.com/rentals/details/2214-E-89th-St-1_Cleveland_OH_44106_M91492-98429,9149298429,2973220334,NEOH,5074993,FOR_RENT,"Unique newly constructed multi-family 3-story apartment building, 4 one-bedroom units on the first floor. Features include large bedroom(s), floor-to-ceiling windows, and walk-in closets. The kitchen features and appliances: dishwasher, garbage disposal, oven/range, refrigerator, microwave and an eat-in kitchen. Other highlights: High speed internet access, washer/dryer, security system, wheelchair accessible (rooms). Available Units: #1 (559 sf) $1, 225.00; #3 (523 sf) $1, 200.00; #5 (523 sf) $1, 200.00; #7 (547 sf) $1, 225.00",APARTMENT,2214 E 89th St Unit 1,2214 E 89th St,Unit 1,Cleveland,OH,44106,1,1,,559,2024,58,1225,2024-10-03,,,472000,True,,2,41.497963,-81.62484,Fairfax,Cuyahoga,39035,1,,,Cleveland Metropolitan School District,0.958509162462623,1225.0,26.29695885509839,26.29695885509839
361,https://www.realtor.com/rentals/details/2214-E-89th-St-2_Cleveland_OH_44106_M92254-20124,9225420124,2973219456,NEOH,5075125,FOR_RENT,"Unique newly constructed multi-family 3-story apartment building, 4 two-bedroom units on the 2nd floor with bedrooms located on the 3rd floor. Features include large bedroom(s), floor-to-ceiling windows, and walk-in closets; 1.5 bathrooms. The kitchen features and appliances: dishwasher, garbage disposal, oven/range, refrigerator, microwave and an eat-in kitchen. Other highlights: High speed internet access, washer/dryer, security system, wheelchair accessible (rooms). Available Units: #2 (1, 245 sf) $1, 850.00; #4 (1, 120 sf) $1, 800.00; #6 (1, 120 sf) $1, 800.00; #8 (1, 239 sf) $1, 850.00.",APARTMENT,2214 E 89th St Unit 2,2214 E 89th St,Unit 2,Cleveland,OH,44106,2,1,1,1245,2024,58,1850,2024-10-03,,,507000,True,,1,41.497963,-81.62484,Fairfax,Cuyahoga,39035,,,,Cleveland Metropolitan School District,0.958509162462623,925.0,17.83132530120482,8.91566265060241
363,https://www.realtor.com/rentals/details/2037-W-11th-St-Down_Cleveland_OH_44113_M99340-71579,9934071579,2973102943,TRBO,1615813,FOR_RENT,"Located in in the heart of Tremont just 500 feet from the new Metroparks' towpath! First floor. Two bedrooms, one bathroom. Beautiful stainless countertops, and newer appliances. First floor. Two bedrooms, one bathroom. Beautiful stainless countertops, and newer appliances. Private front porch with views of downtown Cleveland. Approximately 700 sq. feet. Coin laundry on site. Basement storage is available. Walk to all the restaurants, bars, and coffee shops in Tremont and Ohio City! -$1200/month. Month-to-month lease. Venmo only. One month security deposit. -On-street parking. -No smoking. -No pets. A background/credit check is required ($45), proof of employment and income verification of 3 times rent. -No Evictions -No violent criminal convictions -No vouchers accepted. Available November 16 To apply, visit TurboTenant and search for Property ID 1615813",CONDOS,2037 W 11th St Unit Down,2037 W 11th St,Unit Down,Cleveland,OH,44113,2,1,,750,,60,1200,2024-10-01,,,,False,,2,41.484318,-81.689041,Tremont,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Northeast Ohio College Preparatory School",4.405573106962575,600.0,19.2,9.6
365,https://www.realtor.com/rentals/details/2920-E-111th-St_Cleveland_OH_44104_M44748-65652,4474865652,2973131965,INGO,38417,FOR_RENT,"3 bedroom 1 bath single family home available for rent October 15, 2024. Tenant(s) responsible for electricity and natural gas. Security deposit required at lease signing is equal to one months rent. For inquiries and to schedule an in person showing, please contact Brianna with a call or a text at the Cleveland Rental Group . We do accept Section 8 / Housing Choice Voucher Program recipients. Sorry, we are not able to accept Eden vouchers at this time. Private pay tenants are encouraged to inquire about our flexible leasing options! No upfront background screening is required ahead of time. We just ask that a completed application is submitted prior to viewing. The background screening is required to be completed should you decided to move ahead with the property. We do run a credit check, but do not be discouraged if you were denied residency elsewhere. The Cleveland Rental Group understands that life happens which means your application for one of our rentals is evaluated by a human, not a computer! We screen each applicant personally and will work with each applicant to place them in one of our properties if possible. The $35.00 fee for the screening is fully refundable at your move-in date.",SINGLE_FAMILY,2920 E 111th St,2920 E 111th St,,Cleveland,OH,44104,3,1,,1008,,59,1595,2024-10-02,51746,5920,60000,False,,2,41.479437,-81.608827,Woodland Hills,Cuyahoga,39035,,,,"Randall Park High School, Cleveland Arts And Social Sciences Academy, Wings Academy 1, Wings Academy 2, Cleveland Metropolitan School District",1.7159788075387632,531.6666666666666,18.988095238095237,6.329365079365079
369,https://www.realtor.com/rentals/details/1900-Abbey-Ave-Apt-513_Cleveland_OH_44113_M90520-50309,9052050309,2973074808,NEOH,5074456,FOR_RENT,"Step into The Abbey Townhomes and Flats, a fresh and sophisticated residential enclave nestled in the Duck Island neighborhood just outside downtown Cleveland. Experience vibrant living at The Abbey Townhomes and Flats with various floor plans tailored to suit your lifestyle. Our suites, available in both flat and townhome styles, provide the flexibility you desire. Enjoy the added convenience of off-street parking, keep active in our fully equipped fitness center and yoga studio, or relax in our expansive game/party lounge and community room. Need a space for work? Our conference room is ready for you. We also have your pets covered with a convenient Pet Spa and secure bike storage for cycling enthusiasts. Explore our diverse floor plans and find your perfect match at The Abbey, where exceptional amenities meet versatile living options.",APARTMENT,1900 Abbey Ave Apt 513,1900 Abbey Ave,Apt 513,Cleveland,OH,44113,2,2,,1082,2023,60,2750,2024-10-01,,,1795000,False,,3,41.484528,-81.697998,Tremont,Cuyahoga,39035,5,,,"Cleveland Metropolitan School District, Horizon Science Academy Denison Elementary School, Northeast Ohio College Preparatory School",4.845041946501326,1375.0,30.499075785582257,15.249537892791128
370,https://www.realtor.com/rentals/details/408-W-Saint-Clair-Ave-Apt-215_Cleveland_OH_44113_M48624-15007,4862415007,2973041927,AVAL,61197986,FOR_RENT,"Get ready to live like a true Clevelander in this Furnished trendy 2-bedroom, 2-bath condo nestled in the vibrant Warehouse District in downtown Cleveland! This prime spot puts you right in the middle of the action to balance work, fun, and relaxation all in one. Stroll down to the lake, catch a game at the stadiums, see a show in the theatre district, or hit the Rock & Roll Hall of Fameall within walking distance! You'll also be steps away from award-winning bars and restaurants, grocery stores, and more. Have a meeting in the suburbs of Cleveland? Its centralized location with convenient access to highways allows you to get to Cleveland suburbs effortlessly. Amenities: Big windows that let in tons of natural light City views and stylish updates Fully stocked kitchen with stainless steel appliances Keurig for your morning brew High-speed internet and TV with Amazon button for streaming Updated bathrooms Cozy full bed in the second bedroom Location: Prime downtown spot in the Warehouse District Centrally located with easy access to public transportation (RTA and bus) Nearby highway with easy access to Cleveland suburbs Walking distance to award-winning restaurants, grocery stores, and more Just a 15-minute bike ride to Edgewater Park Walking distance to the lake, stadiums, and Rock & Roll Hall of Fame Close to Sherwin-Williams and Cleveland Convention Center For more details or to schedule a virtual or in-person viewing!",APARTMENT,408 W Saint Clair St Unit 215,408 W Saint Clair St,Unit 215,Cleveland,OH,44113,2,2,,900,,60,2500,2024-10-01,240000,57690,231257,False,,3,41.499884,-81.698437,"Downtown Cleveland, Warehouse District",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Promise Academy, Near West Intergenerational School",4.6810902230710525,1250.0,33.333333333333336,16.666666666666668
